2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ Logistic Regression            Acc=0.9708  Prec=0.9904  Rec=0.9626  F1=0.9763  AUC=0.9981  CV=0.9774±0.0061
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  Ensemble (Soft Voting) …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ Ensemble (Soft Voting)         Acc=0.9591  Prec=0.9464  Rec=0.9907  F1=0.9680  AUC=0.9965  CV=0.9648±0.0094
2026-06-08 18:27:32 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   🏆 Best Accuracy : SVM  (0.9766)
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   🎯 Best Recall   : kNN  (1.0000)
2026-06-08 18:27:32 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:32 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating 6 models  (CV folds=3)
2026-06-08 18:27:32 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  Random Forest …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ Random Forest                  Acc=0.9474  Prec=0.9455  Rec=0.9720  F1=0.9585  AUC=0.9927  CV=0.9573±0.0177
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  kNN …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ kNN                            Acc=0.9591  Prec=0.9386  Rec=1.0000  F1=0.9683  AUC=0.9827  CV=0.9673±0.0072
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  Naive Bayes …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ Naive Bayes                    Acc=0.9357  Prec=0.9364  Rec=0.9626  F1=0.9493  AUC=0.9892  CV=0.9347±0.0037
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  SVM …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ SVM                            Acc=0.9766  Prec=0.9813  Rec=0.9813  F1=0.9813  AUC=0.9978  CV=0.9724±0.0036
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  Logistic Regression …
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   ✔ Logistic Regression            Acc=0.9708  Prec=0.9904  Rec=0.9626  F1=0.9763  AUC=0.9981  CV=0.9774±0.0061
2026-06-08 18:27:32 | INFO     | src.models.evaluator |   Evaluating  Ensemble (Soft Voting) …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ Ensemble (Soft Voting)         Acc=0.9591  Prec=0.9464  Rec=0.9907  F1=0.9680  AUC=0.9965  CV=0.9648±0.0094
2026-06-08 18:27:33 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   🏆 Best Accuracy : SVM  (0.9766)
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   🎯 Best Recall   : kNN  (1.0000)
2026-06-08 18:27:33 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:33 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating 6 models  (CV folds=3)
2026-06-08 18:27:33 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  Random Forest …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ Random Forest                  Acc=0.9474  Prec=0.9455  Rec=0.9720  F1=0.9585  AUC=0.9927  CV=0.9573±0.0177
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  kNN …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ kNN                            Acc=0.9591  Prec=0.9386  Rec=1.0000  F1=0.9683  AUC=0.9827  CV=0.9673±0.0072
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  Naive Bayes …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ Naive Bayes                    Acc=0.9357  Prec=0.9364  Rec=0.9626  F1=0.9493  AUC=0.9892  CV=0.9347±0.0037
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  SVM …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ SVM                            Acc=0.9766  Prec=0.9813  Rec=0.9813  F1=0.9813  AUC=0.9978  CV=0.9724±0.0036
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  Logistic Regression …
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   ✔ Logistic Regression            Acc=0.9708  Prec=0.9904  Rec=0.9626  F1=0.9763  AUC=0.9981  CV=0.9774±0.0061
2026-06-08 18:27:33 | INFO     | src.models.evaluator |   Evaluating  Ensemble (Soft Voting) …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ Ensemble (Soft Voting)         Acc=0.9591  Prec=0.9464  Rec=0.9907  F1=0.9680  AUC=0.9965  CV=0.9648±0.0094
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   🏆 Best Accuracy : SVM  (0.9766)
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   🎯 Best Recall   : kNN  (1.0000)
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating 6 models  (CV folds=3)
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  Random Forest …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ Random Forest                  Acc=0.9474  Prec=0.9455  Rec=0.9720  F1=0.9585  AUC=0.9927  CV=0.9573±0.0177
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  kNN …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ kNN                            Acc=0.9591  Prec=0.9386  Rec=1.0000  F1=0.9683  AUC=0.9827  CV=0.9673±0.0072
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  Naive Bayes …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ Naive Bayes                    Acc=0.9357  Prec=0.9364  Rec=0.9626  F1=0.9493  AUC=0.9892  CV=0.9347±0.0037
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  SVM …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ SVM                            Acc=0.9766  Prec=0.9813  Rec=0.9813  F1=0.9813  AUC=0.9978  CV=0.9724±0.0036
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  Logistic Regression …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ Logistic Regression            Acc=0.9708  Prec=0.9904  Rec=0.9626  F1=0.9763  AUC=0.9981  CV=0.9774±0.0061
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   Evaluating  Ensemble (Soft Voting) …
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   ✔ Ensemble (Soft Voting)         Acc=0.9591  Prec=0.9464  Rec=0.9907  F1=0.9680  AUC=0.9965  CV=0.9648±0.0094
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   🏆 Best Accuracy : SVM  (0.9766)
2026-06-08 18:27:34 | INFO     | src.models.evaluator |   🎯 Best Recall   : kNN  (1.0000)
2026-06-08 18:27:34 | INFO     | src.models.evaluator | ────────────────────────────────────────────────────────────
2026-06-08 18:32:50 | INFO     | src.models.registry | Model loaded ← ensemble_soft_voting.pkl
2026-06-08 18:32:51 | INFO     | src.api.routes | Predict → Malignant  conf=0.990  model=ensemble_soft_voting
2026-06-08 18:32:51 | INFO     | src.models.registry | Model loaded ← ensemble_soft_voting.pkl
2026-06-08 18:32:51 | INFO     | src.api.routes | Predict → Malignant  conf=0.990  model=ensemble_soft_voting
2026-06-08 18:32:51 | INFO     | src.models.registry | Model loaded ← ensemble_soft_voting.pkl
2026-06-08 18:32:51 | INFO     | src.api.routes | Predict → Malignant  conf=0.990  model=ensemble_soft_voting
2026-06-08 18:32:51 | INFO     | src.models.registry | Model loaded ← ensemble_soft_voting.pkl
2026-06-08 18:32:51 | INFO     | src.api.routes | Batch predict → 10 rows  model=ensemble_soft_voting
2026-06-08 18:32:51 | INFO     | src.models.registry | Model loaded ← ensemble_soft_voting.pkl
2026-06-08 18:32:51 | INFO     | src.api.routes | Batch predict → 7 rows  model=ensemble_soft_voting
2026-06-08 18:34:41 | INFO     | train | ╔══════════════════════════════════════════════════════╗
2026-06-08 18:34:41 | INFO     | train | ║   Breast Cancer ML — Production Training Pipeline    ║
2026-06-08 18:34:41 | INFO     | train | ╚══════════════════════════════════════════════════════╝
2026-06-08 18:34:41 | INFO     | src.data.loader | Loading data  source=sklearn
2026-06-08 18:34:41 | DEBUG    | src.data.loader | Loaded dataset from sklearn  (569 samples, 30 features)
2026-06-08 18:34:41 | DEBUG    | src.data.loader | Data validation passed ✔
2026-06-08 18:34:41 | INFO     | src.data.loader | Data loaded   Samples=569  Features=30  Benign=357  Malignant=212
2026-06-08 18:34:41 | INFO     | src.data.splitter | Split  train=398  test=171  test_ratio=0.30  stratified=True
2026-06-08 18:34:41 | INFO     | src.models.trainer | ============================================================
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Starting model training …
2026-06-08 18:34:41 | INFO     | src.models.trainer | ============================================================
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  Random Forest …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ Random Forest trained
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  kNN …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ kNN trained
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  Naive Bayes …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ Naive Bayes trained
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  SVM …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ SVM trained
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  Logistic Regression …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ Logistic Regression trained
2026-06-08 18:34:41 | INFO     | src.models.trainer |   Training  Ensemble (Soft Voting) …
2026-06-08 18:34:41 | INFO     | src.models.trainer |   ✔ Ensemble (Soft Voting) trained
2026-06-08 18:34:41 | INFO     | src.models.trainer | Training complete — 6 models ready.
2026-06-08 18:34:41 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:34:41 | INFO     | src.models.evaluator |   Evaluating 6 models  (CV folds=10)
2026-06-08 18:34:41 | INFO     | src.models.evaluator | ============================================================
2026-06-08 18:34:41 | INFO     | src.models.evaluator |   Evaluating  Random Forest …
2026-06-08 18:34:42 | INFO     | src.models.evaluator |   ✔ Random Forest                  Acc=0.9474  Prec=0.9455  Rec=0.9720  F1=0.9585  AUC=0.9927  CV=0.9672±0.0281
2026-06-08 18:34:42 | INFO     | src.models.evaluator |   Evaluating  kNN …
